case=A66_B19661 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,100706,56ac1b9d9db74e4d,REFERENCE
A,DDC,100706,56ac1b9d9db74e4d,PASS
A,CRoaring,100706,56ac1b9d9db74e4d,PASS
A,WAH,100706,56ac1b9d9db74e4d,PASS
A,EWAH,100706,56ac1b9d9db74e4d,PASS
A,Concise,100706,56ac1b9d9db74e4d,PASS
B,BitsetAVX,30000288,8edc33084100638d,REFERENCE
B,DDC,30000288,8edc33084100638d,PASS
B,CRoaring,30000288,8edc33084100638d,PASS
B,WAH,30000288,8edc33084100638d,PASS
B,EWAH,30000288,8edc33084100638d,PASS
B,Concise,30000288,8edc33084100638d,PASS
OR,BitsetAVX,30070755,93f6bad89b483398,REFERENCE
OR,DDC,30070755,93f6bad89b483398,PASS
OR,CRoaring,30070755,93f6bad89b483398,PASS
OR,WAH,30070755,93f6bad89b483398,PASS
OR,EWAH,30070755,93f6bad89b483398,PASS
OR,Concise,30070755,93f6bad89b483398,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=22.66 MiB  L2=1.31 MiB  L3=0.51 MiB  L4=0.09 MiB  total=24.58 MiB
