case=A66_B6554 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,100706,56ac1b9d9db74e4d,REFERENCE
A,DDC,100706,56ac1b9d9db74e4d,PASS
A,CRoaring,100706,56ac1b9d9db74e4d,PASS
A,WAH,100706,56ac1b9d9db74e4d,PASS
A,EWAH,100706,56ac1b9d9db74e4d,PASS
A,Concise,100706,56ac1b9d9db74e4d,PASS
B,BitsetAVX,10000600,b999a39dac6f9c72,REFERENCE
B,DDC,10000600,b999a39dac6f9c72,PASS
B,CRoaring,10000600,b999a39dac6f9c72,PASS
B,WAH,10000600,b999a39dac6f9c72,PASS
B,EWAH,10000600,b999a39dac6f9c72,PASS
B,Concise,10000600,b999a39dac6f9c72,PASS
OR,BitsetAVX,10091048,12f5fed725d1be51,REFERENCE
OR,DDC,10091048,12f5fed725d1be51,PASS
OR,CRoaring,10091048,12f5fed725d1be51,PASS
OR,WAH,10091048,12f5fed725d1be51,PASS
OR,EWAH,10091048,12f5fed725d1be51,PASS
OR,Concise,10091048,12f5fed725d1be51,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=13.77 MiB  L2=3.13 MiB  L3=0.18 MiB  L4=0.09 MiB  total=17.18 MiB
