case=A328_B1311 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,500493,f9d31ac9c5a37d91,REFERENCE
A,DDC,500493,f9d31ac9c5a37d91,PASS
A,CRoaring,500493,f9d31ac9c5a37d91,PASS
A,WAH,500493,f9d31ac9c5a37d91,PASS
A,EWAH,500493,f9d31ac9c5a37d91,PASS
A,Concise,500493,f9d31ac9c5a37d91,PASS
B,BitsetAVX,2000427,0afab756d7abbabc,REFERENCE
B,DDC,2000427,0afab756d7abbabc,PASS
B,CRoaring,2000427,0afab756d7abbabc,PASS
B,WAH,2000427,0afab756d7abbabc,PASS
B,EWAH,2000427,0afab756d7abbabc,PASS
B,Concise,2000427,0afab756d7abbabc,PASS
OR,BitsetAVX,2490719,f9eb0d183dc08cc1,REFERENCE
OR,DDC,2490719,f9eb0d183dc08cc1,PASS
OR,CRoaring,2490719,f9eb0d183dc08cc1,PASS
OR,WAH,2490719,f9eb0d183dc08cc1,PASS
OR,EWAH,2490719,f9eb0d183dc08cc1,PASS
OR,Concise,2490719,f9eb0d183dc08cc1,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=4.50 MiB  L2=2.98 MiB  L3=0.69 MiB  L4=0.09 MiB  total=8.26 MiB
