case=A655_B655 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,999453,755592524fb56e6a,REFERENCE
A,DDC,999453,755592524fb56e6a,PASS
A,CRoaring,999453,755592524fb56e6a,PASS
A,WAH,999453,755592524fb56e6a,PASS
A,EWAH,999453,755592524fb56e6a,PASS
A,Concise,999453,755592524fb56e6a,PASS
B,BitsetAVX,999453,1ff566c359033576,REFERENCE
B,DDC,999453,1ff566c359033576,PASS
B,CRoaring,999453,1ff566c359033576,PASS
B,WAH,999453,1ff566c359033576,PASS
B,EWAH,999453,1ff566c359033576,PASS
B,Concise,999453,1ff566c359033576,PASS
OR,BitsetAVX,1988943,32596fd3ab98a793,REFERENCE
OR,DDC,1988943,32596fd3ab98a793,PASS
OR,CRoaring,1988943,32596fd3ab98a793,PASS
OR,WAH,1988943,32596fd3ab98a793,PASS
OR,EWAH,1988943,32596fd3ab98a793,PASS
OR,Concise,1988943,32596fd3ab98a793,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=3.68 MiB  L2=2.83 MiB  L3=0.74 MiB  L4=0.09 MiB  total=7.34 MiB
