case=A66_B655 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,100706,56ac1b9d9db74e4d,REFERENCE
A,DDC,100706,56ac1b9d9db74e4d,PASS
A,CRoaring,100706,56ac1b9d9db74e4d,PASS
A,WAH,100706,56ac1b9d9db74e4d,PASS
A,EWAH,100706,56ac1b9d9db74e4d,PASS
A,Concise,100706,56ac1b9d9db74e4d,PASS
B,BitsetAVX,999453,1ff566c359033576,REFERENCE
B,DDC,999453,1ff566c359033576,PASS
B,CRoaring,999453,1ff566c359033576,PASS
B,WAH,999453,1ff566c359033576,PASS
B,EWAH,999453,1ff566c359033576,PASS
B,Concise,999453,1ff566c359033576,PASS
OR,BitsetAVX,1099204,86af2d63363bce2a,REFERENCE
OR,DDC,1099204,86af2d63363bce2a,PASS
OR,CRoaring,1099204,86af2d63363bce2a,PASS
OR,WAH,1099204,86af2d63363bce2a,PASS
OR,EWAH,1099204,86af2d63363bce2a,PASS
OR,Concise,1099204,86af2d63363bce2a,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=2.03 MiB  L2=1.60 MiB  L3=0.52 MiB  L4=0.09 MiB  total=4.25 MiB
