case=A655_B19661 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,999453,755592524fb56e6a,REFERENCE
A,DDC,999453,755592524fb56e6a,PASS
A,CRoaring,999453,755592524fb56e6a,PASS
A,WAH,999453,755592524fb56e6a,PASS
A,EWAH,999453,755592524fb56e6a,PASS
A,Concise,999453,755592524fb56e6a,PASS
B,BitsetAVX,30000288,8edc33084100638d,REFERENCE
B,DDC,30000288,8edc33084100638d,PASS
B,CRoaring,30000288,8edc33084100638d,PASS
B,WAH,30000288,8edc33084100638d,PASS
B,EWAH,30000288,8edc33084100638d,PASS
B,Concise,30000288,8edc33084100638d,PASS
OR,BitsetAVX,30698855,1ff9400f655f4533,REFERENCE
OR,DDC,30698855,1ff9400f655f4533,PASS
OR,CRoaring,30698855,1ff9400f655f4533,PASS
OR,WAH,30698855,1ff9400f655f4533,PASS
OR,EWAH,30698855,1ff9400f655f4533,PASS
OR,Concise,30698855,1ff9400f655f4533,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=24.31 MiB  L2=2.54 MiB  L3=0.73 MiB  L4=0.09 MiB  total=27.68 MiB
