case=A66_B13107 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,100706,56ac1b9d9db74e4d,REFERENCE
A,DDC,100706,56ac1b9d9db74e4d,PASS
A,CRoaring,100706,56ac1b9d9db74e4d,PASS
A,WAH,100706,56ac1b9d9db74e4d,PASS
A,EWAH,100706,56ac1b9d9db74e4d,PASS
A,Concise,100706,56ac1b9d9db74e4d,PASS
B,BitsetAVX,19999673,f8a225600fdf6ee5,REFERENCE
B,DDC,19999673,f8a225600fdf6ee5,PASS
B,CRoaring,19999673,f8a225600fdf6ee5,PASS
B,WAH,19999673,f8a225600fdf6ee5,PASS
B,EWAH,19999673,f8a225600fdf6ee5,PASS
B,Concise,19999673,f8a225600fdf6ee5,PASS
OR,BitsetAVX,20080036,6314b19a2f275e16,REFERENCE
OR,DDC,20080036,6314b19a2f275e16,PASS
OR,CRoaring,20080036,6314b19a2f275e16,PASS
OR,WAH,20080036,6314b19a2f275e16,PASS
OR,EWAH,20080036,6314b19a2f275e16,PASS
OR,Concise,20080036,6314b19a2f275e16,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=20.03 MiB  L2=2.48 MiB  L3=0.48 MiB  L4=0.09 MiB  total=23.08 MiB
