case=A655_B3277 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,999453,755592524fb56e6a,REFERENCE
A,DDC,999453,755592524fb56e6a,PASS
A,CRoaring,999453,755592524fb56e6a,PASS
A,WAH,999453,755592524fb56e6a,PASS
A,EWAH,999453,755592524fb56e6a,PASS
A,Concise,999453,755592524fb56e6a,PASS
B,BitsetAVX,5000323,37a2c58825a8d3f1,REFERENCE
B,DDC,5000323,37a2c58825a8d3f1,PASS
B,CRoaring,5000323,37a2c58825a8d3f1,PASS
B,WAH,5000323,37a2c58825a8d3f1,PASS
B,EWAH,5000323,37a2c58825a8d3f1,PASS
B,Concise,5000323,37a2c58825a8d3f1,PASS
OR,BitsetAVX,5949767,d48ad3190b122273,REFERENCE
OR,DDC,5949767,d48ad3190b122273,PASS
OR,CRoaring,5949767,d48ad3190b122273,PASS
OR,WAH,5949767,d48ad3190b122273,PASS
OR,EWAH,5949767,d48ad3190b122273,PASS
OR,Concise,5949767,d48ad3190b122273,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=9.87 MiB  L2=4.28 MiB  L3=0.47 MiB  L4=0.09 MiB  total=14.71 MiB
