case=A66_B32768 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,100706,56ac1b9d9db74e4d,REFERENCE
A,DDC,100706,56ac1b9d9db74e4d,PASS
A,CRoaring,100706,56ac1b9d9db74e4d,PASS
A,WAH,100706,56ac1b9d9db74e4d,PASS
A,EWAH,100706,56ac1b9d9db74e4d,PASS
A,Concise,100706,56ac1b9d9db74e4d,PASS
B,BitsetAVX,50000004,ddb674307c15bf77,REFERENCE
B,DDC,50000004,ddb674307c15bf77,PASS
B,CRoaring,50000004,ddb674307c15bf77,PASS
B,WAH,50000004,ddb674307c15bf77,PASS
B,EWAH,50000004,ddb674307c15bf77,PASS
B,Concise,50000004,ddb674307c15bf77,PASS
OR,BitsetAVX,50050276,a60c97cd462c8592,REFERENCE
OR,DDC,50050276,a60c97cd462c8592,PASS
OR,CRoaring,50050276,a60c97cd462c8592,PASS
OR,WAH,50050276,a60c97cd462c8592,PASS
OR,EWAH,50050276,a60c97cd462c8592,PASS
OR,Concise,50050276,a60c97cd462c8592,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=23.94 MiB  L2=0.28 MiB  L3=0.23 MiB  L4=0.09 MiB  total=24.54 MiB
