case=A1311_B1311 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,2000409,6c8721d32441435b,REFERENCE
A,DDC,2000409,6c8721d32441435b,PASS
A,CRoaring,2000409,6c8721d32441435b,PASS
A,WAH,2000409,6c8721d32441435b,PASS
A,EWAH,2000409,6c8721d32441435b,PASS
A,Concise,2000409,6c8721d32441435b,PASS
B,BitsetAVX,2000427,0afab756d7abbabc,REFERENCE
B,DDC,2000427,0afab756d7abbabc,PASS
B,CRoaring,2000427,0afab756d7abbabc,PASS
B,WAH,2000427,0afab756d7abbabc,PASS
B,EWAH,2000427,0afab756d7abbabc,PASS
B,Concise,2000427,0afab756d7abbabc,PASS
OR,BitsetAVX,3960615,bfcc8d00ca8cabcb,REFERENCE
OR,DDC,3960615,bfcc8d00ca8cabcb,PASS
OR,CRoaring,3960615,bfcc8d00ca8cabcb,PASS
OR,WAH,3960615,bfcc8d00ca8cabcb,PASS
OR,EWAH,3960615,bfcc8d00ca8cabcb,PASS
OR,Concise,3960615,bfcc8d00ca8cabcb,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=7.12 MiB  L2=4.33 MiB  L3=0.69 MiB  L4=0.09 MiB  total=12.23 MiB
