case=A655_B26214 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,999453,755592524fb56e6a,REFERENCE
A,DDC,999453,755592524fb56e6a,PASS
A,CRoaring,999453,755592524fb56e6a,PASS
A,WAH,999453,755592524fb56e6a,PASS
A,EWAH,999453,755592524fb56e6a,PASS
A,Concise,999453,755592524fb56e6a,PASS
B,BitsetAVX,39999373,40d88df1649aae15,REFERENCE
B,DDC,39999373,40d88df1649aae15,PASS
B,CRoaring,39999373,40d88df1649aae15,PASS
B,WAH,39999373,40d88df1649aae15,PASS
B,EWAH,39999373,40d88df1649aae15,PASS
B,Concise,39999373,40d88df1649aae15,PASS
OR,BitsetAVX,40598950,11c74182e5291a34,REFERENCE
OR,DDC,40598950,11c74182e5291a34,PASS
OR,CRoaring,40598950,11c74182e5291a34,PASS
OR,WAH,40598950,11c74182e5291a34,PASS
OR,EWAH,40598950,11c74182e5291a34,PASS
OR,Concise,40598950,11c74182e5291a34,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=25.28 MiB  L2=1.79 MiB  L3=0.62 MiB  L4=0.09 MiB  total=27.78 MiB
